Alternative,Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAgg,FineAgg,AgeDays
alt161,362.6,189,0,164.9,11.6,944.7,755.8,56
alt162,337.9,189,0,174.9,9.5,944.7,755.8,56
alt163,374,189.2,0,170.1,10.1,926.1,756.7,91
alt164,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
alt165,425,106.3,0,153.5,16.5,852.1,887.1,91
alt166,425,106.3,0,151.4,18.6,936,803.7,91
alt167,375,93.8,0,126.6,23.4,852.1,992.6,91
alt168,475,118.8,0,181.1,8.9,852.1,781.5,91
alt169,469,117.2,0,137.8,32.2,852.1,840.5,91
alt170,425,106.3,0,153.5,16.5,852.1,887.1,91
alt171,388.6,97.1,0,157.9,12.1,852.1,925.7,91
alt172,531.3,0,0,141.8,28.2,852.1,893.7,91
alt173,425,106.3,0,153.5,16.5,852.1,887.1,91
alt174,318.8,212.5,0,155.7,14.3,852.1,880.4,91
alt175,401.8,94.7,0,147.4,11.4,946.8,852.1,91
alt176,362.6,189,0,164.9,11.6,944.7,755.8,91
alt177,379.5,151.2,0,153.9,15.9,1134.3,605,91
alt178,362.6,189,0,164.9,11.6,944.7,755.8,91
alt179,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
alt180,362.6,189,0,164.9,11.6,944.7,755.8,91
alt181,439,177,0,186,11.1,884.9,707.9,91
alt182,389.9,189,0,145.9,22,944.7,755.8,91
alt183,362.6,189,0,164.9,11.6,944.7,755.8,91
alt184,337.9,189,0,174.9,9.5,944.7,755.8,91
alt185,222.4,0,96.7,189.3,4.5,967.1,870.3,3
alt186,222.4,0,96.7,189.3,4.5,967.1,870.3,14
alt187,222.4,0,96.7,189.3,4.5,967.1,870.3,28
alt188,222.4,0,96.7,189.3,4.5,967.1,870.3,56
alt189,222.4,0,96.7,189.3,4.5,967.1,870.3,100
alt190,233.8,0,94.6,197.9,4.6,947,852.2,3
alt191,233.8,0,94.6,197.9,4.6,947,852.2,14
alt192,233.8,0,94.6,197.9,4.6,947,852.2,28
alt193,233.8,0,94.6,197.9,4.6,947,852.2,56
alt194,233.8,0,94.6,197.9,4.6,947,852.2,100
alt195,194.7,0,100.5,165.6,7.5,1006.4,905.9,3
alt196,194.7,0,100.5,165.6,7.5,1006.4,905.9,14
alt197,194.7,0,100.5,165.6,7.5,1006.4,905.9,28
alt198,194.7,0,100.5,165.6,7.5,1006.4,905.9,56
alt199,194.7,0,100.5,165.6,7.5,1006.4,905.9,100
alt200,190.7,0,125.4,162.1,7.8,1090,804,3
alt201,190.7,0,125.4,162.1,7.8,1090,804,14
alt202,190.7,0,125.4,162.1,7.8,1090,804,28
alt203,190.7,0,125.4,162.1,7.8,1090,804,56
alt204,190.7,0,125.4,162.1,7.8,1090,804,100
alt205,212.1,0,121.6,180.3,5.7,1057.6,779.3,3
alt206,212.1,0,121.6,180.3,5.7,1057.6,779.3,14
alt207,212.1,0,121.6,180.3,5.7,1057.6,779.3,28
alt208,212.1,0,121.6,180.3,5.7,1057.6,779.3,56
alt209,212.1,0,121.6,180.3,5.7,1057.6,779.3,100
alt210,230,0,118.3,195.5,4.6,1029.4,758.6,3
alt211,230,0,118.3,195.5,4.6,1029.4,758.6,14
alt212,230,0,118.3,195.5,4.6,1029.4,758.6,28
alt213,230,0,118.3,195.5,4.6,1029.4,758.6,56
alt214,230,0,118.3,195.5,4.6,1029.4,758.6,100
alt215,190.3,0,125.2,161.9,9.9,1088.1,802.6,3
alt216,190.3,0,125.2,161.9,9.9,1088.1,802.6,14
alt217,190.3,0,125.2,161.9,9.9,1088.1,802.6,28
alt218,190.3,0,125.2,161.9,9.9,1088.1,802.6,56
alt219,190.3,0,125.2,161.9,9.9,1088.1,802.6,100
alt220,166.1,0,163.3,176.5,4.5,1058.6,780.1,3
alt221,166.1,0,163.3,176.5,4.5,1058.6,780.1,14
alt222,166.1,0,163.3,176.5,4.5,1058.6,780.1,28
alt223,166.1,0,163.3,176.5,4.5,1058.6,780.1,56
alt224,166.1,0,163.3,176.5,4.5,1058.6,780.1,100
alt225,168,42.1,163.8,121.8,5.7,1058.7,780.1,3
alt226,168,42.1,163.8,121.8,5.7,1058.7,780.1,14
alt227,168,42.1,163.8,121.8,5.7,1058.7,780.1,28
alt228,168,42.1,163.8,121.8,5.7,1058.7,780.1,56
alt229,168,42.1,163.8,121.8,5.7,1058.7,780.1,100
alt230,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3
alt231,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14
alt232,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28
alt233,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56
alt234,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100
alt235,213.8,98.1,24.5,181.7,6.7,1066,785.5,3
alt236,213.8,98.1,24.5,181.7,6.7,1066,785.5,14
alt237,213.8,98.1,24.5,181.7,6.7,1066,785.5,28
alt238,213.8,98.1,24.5,181.7,6.7,1066,785.5,56
alt239,213.8,98.1,24.5,181.7,6.7,1066,785.5,100
alt240,229.7,0,118.2,195.2,6.1,1028.1,757.6,3
alt241,229.7,0,118.2,195.2,6.1,1028.1,757.6,14
alt242,229.7,0,118.2,195.2,6.1,1028.1,757.6,28
alt243,229.7,0,118.2,195.2,6.1,1028.1,757.6,56
alt244,229.7,0,118.2,195.2,6.1,1028.1,757.6,100
alt245,238.1,0,94.1,186.7,7,949.9,847,3
alt246,238.1,0,94.1,186.7,7,949.9,847,14
alt247,238.1,0,94.1,186.7,7,949.9,847,28
alt248,238.1,0,94.1,186.7,7,949.9,847,56
alt249,238.1,0,94.1,186.7,7,949.9,847,100
alt250,250,0,95.7,187.4,5.5,956.9,861.2,3
alt251,250,0,95.7,187.4,5.5,956.9,861.2,14
alt252,250,0,95.7,187.4,5.5,956.9,861.2,28
alt253,250,0,95.7,187.4,5.5,956.9,861.2,56
alt254,250,0,95.7,187.4,5.5,956.9,861.2,100
alt255,212.5,0,100.4,159.3,8.7,1007.8,903.6,3
alt256,212.5,0,100.4,159.3,8.7,1007.8,903.6,14
alt257,212.5,0,100.4,159.3,8.7,1007.8,903.6,28
alt258,212.5,0,100.4,159.3,8.7,1007.8,903.6,56
alt259,212.5,0,100.4,159.3,8.7,1007.8,903.6,100
alt260,212.6,0,100.4,159.4,10.4,1003.8,903.8,3
alt261,212.6,0,100.4,159.4,10.4,1003.8,903.8,14
alt262,212.6,0,100.4,159.4,10.4,1003.8,903.8,28
alt263,212.6,0,100.4,159.4,10.4,1003.8,903.8,56
alt264,212.6,0,100.4,159.4,10.4,1003.8,903.8,100
alt265,212,0,124.8,159,7.8,1085.4,799.5,3
alt266,212,0,124.8,159,7.8,1085.4,799.5,14
alt267,212,0,124.8,159,7.8,1085.4,799.5,28
alt268,212,0,124.8,159,7.8,1085.4,799.5,56
alt269,212,0,124.8,159,7.8,1085.4,799.5,100
alt270,231.8,0,121.6,174,6.7,1056.4,778.5,3
alt271,231.8,0,121.6,174,6.7,1056.4,778.5,14
alt272,231.8,0,121.6,174,6.7,1056.4,778.5,28
alt273,231.8,0,121.6,174,6.7,1056.4,778.5,56
alt274,231.8,0,121.6,174,6.7,1056.4,778.5,100
alt275,251.4,0,118.3,188.5,5.8,1028.4,757.7,3
alt276,251.4,0,118.3,188.5,5.8,1028.4,757.7,14
alt277,251.4,0,118.3,188.5,5.8,1028.4,757.7,28
alt278,251.4,0,118.3,188.5,5.8,1028.4,757.7,56
alt279,251.4,0,118.3,188.5,5.8,1028.4,757.7,100
alt280,251.4,0,118.3,188.5,6.4,1028.4,757.7,3
alt281,251.4,0,118.3,188.5,6.4,1028.4,757.7,14
alt282,251.4,0,118.3,188.5,6.4,1028.4,757.7,28
alt283,251.4,0,118.3,188.5,6.4,1028.4,757.7,56
alt284,251.4,0,118.3,188.5,6.4,1028.4,757.7,100
alt285,181.4,0,167,169.6,7.6,1055.6,777.8,3
alt286,181.4,0,167,169.6,7.6,1055.6,777.8,14
alt287,181.4,0,167,169.6,7.6,1055.6,777.8,28
alt288,181.4,0,167,169.6,7.6,1055.6,777.8,56
alt289,181.4,0,167,169.6,7.6,1055.6,777.8,100
alt290,182,45.2,122,170.2,8.2,1059.4,780.7,3
alt291,182,45.2,122,170.2,8.2,1059.4,780.7,14
alt292,182,45.2,122,170.2,8.2,1059.4,780.7,28
alt293,182,45.2,122,170.2,8.2,1059.4,780.7,56
alt294,182,45.2,122,170.2,8.2,1059.4,780.7,100
alt295,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3
alt296,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14
alt297,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28
alt298,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56
alt299,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100
alt300,290.4,0,96.2,168.1,9.4,961.2,865,3
alt301,290.4,0,96.2,168.1,9.4,961.2,865,14
alt302,290.4,0,96.2,168.1,9.4,961.2,865,28
alt303,290.4,0,96.2,168.1,9.4,961.2,865,56
alt304,290.4,0,96.2,168.1,9.4,961.2,865,100
alt305,277.1,0,97.4,160.6,11.8,973.9,875.6,3
alt306,277.1,0,97.4,160.6,11.8,973.9,875.6,14
alt307,277.1,0,97.4,160.6,11.8,973.9,875.6,28
alt308,277.1,0,97.4,160.6,11.8,973.9,875.6,56
alt309,277.1,0,97.4,160.6,11.8,973.9,875.6,100
alt310,295.7,0,95.6,171.5,8.9,955.1,859.2,3
alt311,295.7,0,95.6,171.5,8.9,955.1,859.2,14
alt312,295.7,0,95.6,171.5,8.9,955.1,859.2,28
alt313,295.7,0,95.6,171.5,8.9,955.1,859.2,56
alt314,295.7,0,95.6,171.5,8.9,955.1,859.2,100
alt315,251.8,0,99.9,146.1,12.4,1006,899.8,3
alt316,251.8,0,99.9,146.1,12.4,1006,899.8,14
alt317,251.8,0,99.9,146.1,12.4,1006,899.8,28
alt318,251.8,0,99.9,146.1,12.4,1006,899.8,56
alt319,251.8,0,99.9,146.1,12.4,1006,899.8,100
alt320,249.1,0,98.8,158.1,12.8,987.8,889,3
alt321,249.1,0,98.8,158.1,12.8,987.8,889,14
alt322,249.1,0,98.8,158.1,12.8,987.8,889,28
alt323,249.1,0,98.8,158.1,12.8,987.8,889,56
alt324,249.1,0,98.8,158.1,12.8,987.8,889,100
alt325,252.3,0,98.8,146.3,14.2,987.8,889,3
alt326,252.3,0,98.8,146.3,14.2,987.8,889,14
alt327,252.3,0,98.8,146.3,14.2,987.8,889,28
alt328,252.3,0,98.8,146.3,14.2,987.8,889,56
alt329,252.3,0,98.8,146.3,14.2,987.8,889,100
alt330,246.8,0,125.1,143.3,12,1086.8,800.9,3
alt331,246.8,0,125.1,143.3,12,1086.8,800.9,14
alt332,246.8,0,125.1,143.3,12,1086.8,800.9,28
alt333,246.8,0,125.1,143.3,12,1086.8,800.9,56
alt334,246.8,0,125.1,143.3,12,1086.8,800.9,100
alt335,275.1,0,121.4,159.5,9.9,1053.6,777.5,3
alt336,275.1,0,121.4,159.5,9.9,1053.6,777.5,14
alt337,275.1,0,121.4,159.5,9.9,1053.6,777.5,28
alt338,275.1,0,121.4,159.5,9.9,1053.6,777.5,56
alt339,275.1,0,121.4,159.5,9.9,1053.6,777.5,100
alt340,297.2,0,117.5,174.8,9.5,1022.8,753.5,3
alt341,297.2,0,117.5,174.8,9.5,1022.8,753.5,14
alt342,297.2,0,117.5,174.8,9.5,1022.8,753.5,28
alt343,297.2,0,117.5,174.8,9.5,1022.8,753.5,56
alt344,297.2,0,117.5,174.8,9.5,1022.8,753.5,100
alt345,213.7,0,174.7,154.8,10.2,1053.5,776.4,3
alt346,213.7,0,174.7,154.8,10.2,1053.5,776.4,14
alt347,213.7,0,174.7,154.8,10.2,1053.5,776.4,28
alt348,213.7,0,174.7,154.8,10.2,1053.5,776.4,56
alt349,213.7,0,174.7,154.8,10.2,1053.5,776.4,100
alt350,213.5,0,174.2,154.6,11.7,1052.3,775.5,3
alt351,213.5,0,174.2,154.6,11.7,1052.3,775.5,14
alt352,213.5,0,174.2,154.6,11.7,1052.3,775.5,28
alt353,213.5,0,174.2,154.6,11.7,1052.3,775.5,56
alt354,213.5,0,174.2,154.6,11.7,1052.3,775.5,100
alt355,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3
alt356,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14
alt357,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28
alt358,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56
alt359,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100
alt360,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3
alt361,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14
alt362,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28
alt363,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56
alt364,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100
alt365,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3
alt366,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14
alt367,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28
alt368,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56
alt369,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100
alt370,218.9,0,124.1,158.5,11.3,1078.7,794.9,3
alt371,218.9,0,124.1,158.5,11.3,1078.7,794.9,14
alt372,218.9,0,124.1,158.5,11.3,1078.7,794.9,28
alt373,218.9,0,124.1,158.5,11.3,1078.7,794.9,56
alt374,218.9,0,124.1,158.5,11.3,1078.7,794.9,100
alt375,376,0,0,214.6,0,1003.5,762.4,3
alt376,376,0,0,214.6,0,1003.5,762.4,14
alt377,376,0,0,214.6,0,1003.5,762.4,28
alt378,376,0,0,214.6,0,1003.5,762.4,56
alt379,376,0,0,214.6,0,1003.5,762.4,100
alt380,500,0,0,140,4,966,853,28
alt381,475,0,59,142,1.9,1098,641,28
alt382,315,137,0,145,5.9,1130,745,28
alt383,505,0,60,195,0,1030,630,28
alt384,451,0,0,165,11.3,1030,745,28
alt385,516,0,0,162,8.2,801,802,28
alt386,520,0,0,170,5.2,855,855,28
alt387,528,0,0,185,6.9,920,720,28
alt388,520,0,0,175,5.2,870,805,28
alt389,385,0,136,158,20,903,768,28
alt390,500.1,0,0,200,3,1124.4,613.2,28
alt391,450.1,50,0,200,3,1124.4,613.2,28
alt392,397,17.2,158,167,20.8,967,633,28
alt393,333,17.5,163,167,17.9,996,652,28
alt394,334,17.6,158,189,15.3,967,633,28
alt395,405,0,0,175,0,1120,695,28
alt396,200,200,0,190,0,1145,660,28
alt397,516,0,0,162,8.3,801,802,28
alt398,145,116,119,184,5.7,833,880,28
alt399,160,128,122,182,6.4,824,879,28
alt400,234,156,0,189,5.9,981,760,28
alt401,250,180,95,159,9.5,860,800,28
alt402,475,0,0,162,9.5,1044,662,28
alt403,285,190,0,163,7.6,1031,685,28
alt404,356,119,0,160,9,1061,657,28
alt405,275,180,120,162,10.4,830,765,28
alt406,500,0,0,151,9,1033,655,28
alt407,165,0,143.6,163.8,0,1005.6,900.9,3
alt408,165,128.5,132.1,175.1,8.1,1005.8,746.6,3
alt409,178,129.8,118.6,179.9,3.6,1007.3,746.8,3
alt410,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3
alt411,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3
alt412,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3
alt413,167,75.4,167,164,7.9,1007.3,770.1,3
alt414,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3
alt415,190.3,0,125.2,166.6,9.9,1079,798.9,3
alt416,250,0,95.7,191.8,5.3,948.9,857.2,3
alt417,213.5,0,174.2,159.2,11.7,1043.6,771.9,3
alt418,194.7,0,100.5,170.2,7.5,998,901.8,3
alt419,251.4,0,118.3,192.9,5.8,1043.6,754.3,3
alt420,165,0,143.6,163.8,0,1005.6,900.9,14
alt421,165,128.5,132.1,175.1,8.1,1005.8,746.6,14
alt422,178,129.8,118.6,179.9,3.6,1007.3,746.8,14
alt423,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14
alt424,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14
alt425,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14
alt426,167,75.4,167,164,7.9,1007.3,770.1,14
alt427,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14
alt428,190.3,0,125.2,166.6,9.9,1079,798.9,14
alt429,250,0,95.7,191.8,5.3,948.9,857.2,14
alt430,213.5,0,174.2,159.2,11.7,1043.6,771.9,14
alt431,194.7,0,100.5,170.2,7.5,998,901.8,14
alt432,251.4,0,118.3,192.9,5.8,1043.6,754.3,14
alt433,165,0,143.6,163.8,0,1005.6,900.9,28
alt434,165,128.5,132.1,175.1,8.1,1005.8,746.6,28
alt435,178,129.8,118.6,179.9,3.6,1007.3,746.8,28
alt436,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28
alt437,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28
alt438,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28
alt439,167,75.4,167,164,7.9,1007.3,770.1,28
alt440,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28
alt441,190.3,0,125.2,166.6,9.9,1079,798.9,28
alt442,250,0,95.7,191.8,5.3,948.9,857.2,28
alt443,213.5,0,174.2,159.2,11.7,1043.6,771.9,28
alt444,194.7,0,100.5,170.2,7.5,998,901.8,28
alt445,251.4,0,118.3,192.9,5.8,1043.6,754.3,28
alt446,165,0,143.6,163.8,0,1005.6,900.9,56
alt447,165,128.5,132.1,175.1,8.1,1005.8,746.6,56
alt448,178,129.8,118.6,179.9,3.6,1007.3,746.8,56
alt449,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56
alt450,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56
alt451,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56
alt452,167,75.4,167,164,7.9,1007.3,770.1,56
alt453,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56
alt454,190.3,0,125.2,166.6,9.9,1079,798.9,56
alt455,250,0,95.7,191.8,5.3,948.9,857.2,56
alt456,213.5,0,174.2,159.2,11.7,1043.6,771.9,56
alt457,194.7,0,100.5,170.2,7.5,998,901.8,56
alt458,251.4,0,118.3,192.9,5.8,1043.6,754.3,56
alt459,165,0,143.6,163.8,0,1005.6,900.9,100
alt460,165,128.5,132.1,175.1,8.1,1005.8,746.6,100
alt461,178,129.8,118.6,179.9,3.6,1007.3,746.8,100
alt462,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100
alt463,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100
alt464,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100
alt465,167,75.4,167,164,7.9,1007.3,770.1,100
alt466,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100
alt467,190.3,0,125.2,166.6,9.9,1079,798.9,100
alt468,250,0,95.7,191.8,5.3,948.9,857.2,100
